date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,fifa_rank_delta,offense/defense_ratio,result
1993-08-08,Ecuador,Venezuela,35,94,71.64583333333333,69.0,70.47592592592592,75.47708333333334,74.92916666666666,71.66923076923078,75.26,74.5923076923077,59,1.0531309255482808,2
1993-08-15,Uruguay,Brazil,22,8,79.21518987341773,87.59615384615384,79.59367088607594,83.61645569620254,78.27721518987342,86.15,87.32692307692308,85.87307692307692,-14,0.9705914764504067,1
1993-08-25,Denmark,Lithuania,10,84,80.42857142857143,76.0,78.64571428571428,77.64,79.23142857142857,62.08,64.56666666666666,66.0,74,1.2506443298969072,2
1993-08-29,Argentina,Paraguay,5,67,80.96,74.15789473684211,83.172,88.23733333333334,84.616,74.77368421052631,77.61052631578947,74.32631578947368,62,1.1800586565308182,1
1993-09-05,Argentina,Colombia,5,19,80.96,77.77272727272727,83.172,88.23733333333334,84.616,78.53636363636363,80.66363636363636,78.20454545454545,14,1.1235220125786165,0
1993-09-05,Brazil,Venezuela,8,94,86.15492957746478,69.0,86.20704225352112,87.11971830985915,85.94788732394366,71.66923076923078,75.26,74.5923076923077,86,1.2155804851649339,2
1993-09-05,Ecuador,Uruguay,35,22,71.64583333333333,79.27272727272727,70.47592592592592,75.47708333333334,74.92916666666666,79.53030303030303,83.23636363636365,78.45,-13,0.9490355305772529,0
1993-09-12,Uruguay,Bolivia,22,59,79.21518987341773,67.0,79.59367088607594,83.61645569620254,78.27721518987342,67.61111111111111,68.99285714285715,68.42222222222222,37,1.2367265427540226,2
1993-09-19,Ecuador,Bolivia,35,59,71.64583333333333,67.0,70.47592592592592,75.47708333333334,74.92916666666666,67.61111111111111,68.99285714285715,68.42222222222222,24,1.1163414133114216,1
1993-10-10,Cameroon,Zimbabwe,23,47,76.22222222222223,73.93,77.32592592592593,78.48518518518519,77.18148148148148,65.0,72.3,73.93,24,1.2074643874643876,2
1993-10-10,Morocco,Zambia,32,27,72.96551724137932,73.93,76.2,77.42758620689655,74.9448275862069,73.93,70.35,73.93,-5,1.0473094306356898,2
1993-10-13,France,Israel,7,71,87.27083333333333,70.75,84.22708333333334,86.38125000000001,86.49374999999999,66.75,74.0,73.7,64,1.2941011235955058,0
1993-10-13,Poland,Norway,22,3,83.08333333333333,75.5,76.64444444444445,80.28611111111111,77.05277777777778,75.775,76.675,76.15,-19,1.0595329740826276,0
1993-10-13,Portugal,Switzerland,21,10,81.91836734693878,80.45238095238095,83.46938775510205,84.19183673469387,84.51224489795919,78.20952380952382,76.02142857142857,78.63333333333333,-11,1.0764908496277223,2
1993-10-15,Saudi Arabia,Japan,44,43,71.5,69.65714285714286,72.61666666666666,69.69583333333334,72.82083333333334,72.60526315789474,73.27142857142857,77.06,-1,0.9599281140509847,1
1993-10-16,IR Iran,Korea Republic,58,36,67.8,73.9090909090909,68.97142857142858,71.740625,68.4076923076923,72.50181818181818,75.03818181818183,74.39454545454545,-22,0.9895010469956865,0
1993-10-18,Japan,IR Iran,43,58,70.28947368421052,68.24324324324324,73.60000000000001,73.57843137254902,77.1125,68.93333333333334,71.15555555555555,70.16153846153847,15,1.0673853680737284,0
1993-10-22,IR Iran,Iraq,59,64,67.8,50.0,68.97142857142858,71.740625,68.4076923076923,66.5,73.93,68.0,5,1.0788063909774435,0
1993-10-22,Korea Republic,Saudi Arabia,37,46,73.86538461538461,71.83333333333333,72.35,75.06538461538462,74.60384615384615,72.89166666666667,70.07916666666667,72.92916666666666,9,1.0298212134270213,1
1993-10-25,IR Iran,Korea DPR,59,58,67.8,73.93,68.97142857142858,71.740625,68.4076923076923,73.93,73.93,73.93,-1,0.9703858379548219,2
1993-10-28,Korea Republic,Korea DPR,37,58,73.86538461538461,73.93,72.35,75.06538461538462,74.60384615384615,73.93,73.93,73.93,21,1.0153575627672746,2
1993-10-31,Australia,Argentina,61,9,78.50909090909092,81.52307692307693,72.15272727272728,73.86363636363636,74.23636363636363,83.40307692307692,88.3076923076923,84.69846153846153,-52,0.8856224385074085,1
1993-11-10,Portugal,Estonia,20,119,81.91836734693878,68.0,83.46938775510205,84.19183673469387,84.51224489795919,65.175,62.0,63.8,99,1.2917811543489661,2
1993-11-17,Argentina,Australia,9,61,80.96,78.80327868852459,83.172,88.23733333333334,84.616,72.41147540983607,73.98524590163935,74.64590163934426,52,1.2185545569113974,2
1993-11-17,France,Bulgaria,14,32,87.27083333333333,73.8,84.22708333333334,86.38125000000001,86.49374999999999,69.16,70.86,72.2,18,1.2490059282822443,0
1993-11-17,Poland,Netherlands,23,6,83.08333333333333,83.275,76.64444444444445,80.28611111111111,77.05277777777778,80.7325,86.34,83.77250000000001,-17,0.9944707659382667,0
1993-11-17,Wales,Romania,28,15,73.94117647058823,76.14285714285714,74.27352941176471,75.1470588235294,77.84117647058824,76.18571428571428,75.10000000000001,74.82857142857142,-13,0.98636679498351,0
1994-06-17,Germany,Bolivia,1,43,88.88235294117646,67.0,84.65294117647059,83.63921568627451,85.37058823529411,67.61111111111111,68.99285714285715,68.42222222222222,42,1.237063173667166,2
1994-06-17,Spain,Korea Republic,5,37,90.17073170731707,73.9090909090909,85.68780487804878,86.1609756097561,87.54146341463414,72.50181818181818,75.03818181818183,74.39454545454545,32,1.188397446718975,1
1994-06-18,USA,Switzerland,23,12,81.79310344827586,80.45238095238095,75.03793103448275,76.15862068965517,77.29827586206896,78.20952380952382,76.02142857142857,78.63333333333333,-11,0.9737768110586692,1
1994-06-19,Cameroon,Sweden,24,10,76.22222222222223,76.33333333333333,77.32592592592593,78.48518518518519,77.18148148148148,77.34166666666667,82.13333333333334,77.64166666666667,-14,1.014785284152809,1
1994-06-20,Brazil,Russia,3,19,86.15492957746478,83.33333333333333,86.20704225352112,87.11971830985915,85.94788732394366,77.18333333333334,78.48333333333333,79.26666666666667,16,1.128737443012643,2
1994-06-21,Argentina,Greece,8,31,80.96,79.5,83.172,88.23733333333334,84.616,78.1375,76.95,77.45,23,1.129257185516984,2
1994-06-21,Germany,Spain,1,5,88.88235294117646,90.0,84.65294117647059,83.63921568627451,85.37058823529411,85.74146341463415,85.82926829268293,87.37560975609756,4,0.9754815506449492,1
1994-06-23,Korea Republic,Bolivia,37,43,73.86538461538461,67.0,72.35,75.06538461538462,74.60384615384615,67.61111111111111,68.99285714285715,68.42222222222222,6,1.1102521964477592,1
1994-06-24,Brazil,Cameroon,3,24,86.15492957746478,75.96666666666667,86.20704225352112,87.11971830985915,85.94788732394366,77.5,78.5,77.22,21,1.1241253975465697,2
1994-06-24,Mexico,Republic of Ireland,16,14,79.62711864406779,79.55555555555556,77.0677966101695,79.30169491525425,77.4542372881356,77.45555555555556,75.03333333333333,78.07777777777778,-2,1.0238348217433484,2
1994-06-25,Argentina,Nigeria,8,11,80.96,76.33333333333333,83.172,88.23733333333334,84.616,73.71428571428571,76.81428571428572,76.22857142857143,3,1.1970180878552974,2
1994-06-26,Switzerland,Colombia,12,17,80.1842105263158,77.77272727272727,78.22105263157896,76.16578947368421,78.61052631578947,78.53636363636363,80.66363636363636,78.20454545454545,5,0.9698155853808617,0
1994-06-26,USA,Romania,23,7,81.79310344827586,76.14285714285714,75.03793103448275,76.15862068965517,77.29827586206896,76.18571428571428,75.10000000000001,74.82857142857142,-16,0.9996443743251194,0
1994-06-27,Germany,Korea Republic,1,37,88.88235294117646,73.9090909090909,84.65294117647059,83.63921568627451,85.37058823529411,72.50181818181818,75.03818181818183,74.39454545454545,36,1.1536154234991218,2
1994-06-28,Brazil,Sweden,3,10,86.15492957746478,76.33333333333333,86.20704225352112,87.11971830985915,85.94788732394366,77.34166666666667,82.13333333333334,77.64166666666667,7,1.1264266994055703,1
1994-06-29,Belgium,Saudi Arabia,27,34,83.2,71.83333333333333,81.42,81.89750000000001,81.83250000000001,72.89166666666667,70.07916666666667,72.92916666666666,7,1.1235509317480281,0
1994-06-29,Morocco,Netherlands,28,2,72.96551724137932,83.275,76.2,77.42758620689655,74.9448275862069,80.7325,86.34,83.77250000000001,-26,0.9590634032997436,0
1994-06-30,Argentina,Bulgaria,8,29,80.96,73.8,83.172,88.23733333333334,84.616,69.16,70.86,72.2,21,1.2758434547908233,0
1994-07-03,Saudi Arabia,Sweden,34,10,71.5,76.33333333333333,72.61666666666666,69.69583333333334,72.82083333333334,77.34166666666667,82.13333333333334,77.64166666666667,-24,0.901142118306217,0
1994-07-04,Netherlands,Republic of Ireland,2,14,83.2,79.55555555555556,80.33333333333333,86.08888888888889,83.7911111111111,77.45555555555556,75.03333333333333,78.07777777777778,12,1.1114617701907903,2
1994-07-04,USA,Brazil,23,3,81.79310344827586,87.59615384615384,75.03793103448275,76.15862068965517,77.29827586206896,86.15,87.32692307692308,85.87307692307692,-20,0.8840234554806171,0
1994-07-05,Mexico,Bulgaria,16,29,79.62711864406779,73.8,77.0677966101695,79.30169491525425,77.4542372881356,69.16,70.86,72.2,13,1.146641048514376,0
1994-07-09,Netherlands,Brazil,2,3,83.2,87.59615384615384,80.33333333333333,86.08888888888889,83.7911111111111,86.15,87.32692307692308,85.87307692307692,1,0.9992906429354484,0
1994-07-17,Brazil,Italy,3,4,86.15492957746478,88.2,86.20704225352112,87.11971830985915,85.94788732394366,84.8,84.74,84.64,1,1.027355168748339,2
1996-04-24,Ecuador,Peru,41,78,71.64583333333333,68.78947368421052,70.47592592592592,75.47708333333334,74.92916666666666,72.50555555555555,75.79375,73.97647058823529,37,1.0409834495440964,2
1996-06-02,Uruguay,Paraguay,32,62,79.21518987341773,74.15789473684211,79.59367088607594,83.61645569620254,78.27721518987342,74.77368421052631,77.61052631578947,74.32631578947368,30,1.1182604759821555,0
1996-06-15,Senegal,Togo,58,109,72.73684210526316,66.83333333333333,77.06315789473685,79.68947368421053,76.50526315789473,73.93,72.0,62.5,51,1.0779044188314693,1
1996-06-16,Tunisia,Rwanda,22,173,61.15384615384615,73.93,72.04074074074073,71.28888888888889,72.62592592592593,73.93,73.93,73.93,151,0.9642755158783834,2
1996-08-30,Canada,Panama,88,106,74.06896551724138,71.125,69.30689655172414,71.51379310344828,74.42758620689655,68.65454545454546,68.11538461538461,67.82000000000001,18,1.041646880479252,2
1996-08-31,Belgium,Turkey,43,29,83.2,80.0,81.42,81.89750000000001,81.83250000000001,77.225,77.55,79.6875,-14,1.0605050178051152,2
